Stacja;Data;Godzina;zjawisko;Zachmurzenia;Cisnienie
12595;02.06.2020;17:00:00;Deszcz;8;1008.7
12695;02.06.2020;17:00:00;Deszcz;0;1009.7
12295;02.06.2020;18:00:00;Deszcz;7;1009.1
12415;02.06.2020;18:00:00;Burza;7;1010.2
12500;02.06.2020;18:00:00;Burza;7;1013.0
12595;02.06.2020;18:00:00;Deszcz;8;1008.3
12695;02.06.2020;18:00:00;Deszcz;0;1009.1
12424;02.06.2020;19:00:00;Deszcz;7;1010.2
12295;02.06.2020;20:00:00;Deszcz;7;1009.0
12424;02.06.2020;20:00:00;Burza;7;1010.3
12520;02.06.2020;20:00:00;Burza;7;1011.4
12295;02.06.2020;21:00:00;Deszcz;8;1008.9
12497;02.06.2020;21:00:00;Deszcz;8;1007.1
12500;02.06.2020;21:00:00;Mgˆa;2;1012.2
12295;02.06.2020;22:00:00;Deszcz;8;1008.5
12399;02.06.2020;22:00:00;Deszcz;8;1007.1
12424;02.06.2020;22:00:00;Mgˆa;3;1009.5
12497;02.06.2020;22:00:00;Deszcz;8;1006.8
12500;02.06.2020;22:00:00;Mgˆa;0;1011.7
12595;02.06.2020;22:00:00;Deszcz;0;1007.0
12120;02.06.2020;23:00:00;Mgˆa;0;1012.3
12295;02.06.2020;23:00:00;Deszcz;8;1008.2
12424;02.06.2020;23:00:00;Mgˆa;0;1009.2
12495;02.06.2020;23:00:00;Deszcz;8;1007.7
12497;02.06.2020;23:00:00;Deszcz;8;1006.5
12500;02.06.2020;23:00:00;Mgˆa;0;1011.4
12595;02.06.2020;23:00:00;Deszcz;0;1006.8
12120;03.06.2020;00:00:00;Mgˆa;0;1011.4
12326;02.06.2020;16:00:00;Burza;4;1010.7
12326;02.06.2020;19:00:00;Mgˆa;3;1009.8
12424;03.06.2020;00:00:00;Mgˆa;0;1008.2
12495;03.06.2020;00:00:00;Deszcz;8;1007.3
12500;03.06.2020;00:00:00;Mgˆa;0;1010.8
12520;03.06.2020;00:00:00;Mgˆa;2;1009.7
12595;03.06.2020;00:00:00;Deszcz;0;1006.3
12120;03.06.2020;01:00:00;Mgˆa;0;1010.7
12424;03.06.2020;01:00:00;Mgˆa;0;1008.0
12495;03.06.2020;01:00:00;Deszcz;8;1006.5
12500;03.06.2020;01:00:00;Mgˆa;0;1010.2
12520;03.06.2020;01:00:00;Mgˆa;1;1009.4
12530;03.06.2020;01:00:00;Mgˆa;6;1007.6
12120;03.06.2020;02:00:00;Mgˆa;0;1010.4
12424;03.06.2020;02:00:00;Mgˆa;3;1007.8
12500;03.06.2020;02:00:00;Mgˆa;0;1009.9
12520;03.06.2020;02:00:00;Mgˆa;1;1009.1
12530;03.06.2020;02:00:00;Mgˆa;4;1007.2
12560;03.06.2020;02:00:00;Mgˆa;7;1007.7
12695;03.06.2020;02:00:00;Deszcz;0;1006.4
12120;03.06.2020;03:00:00;Mgˆa;2;1010.2
12424;03.06.2020;03:00:00;Mgˆa;7;1007.7
12500;03.06.2020;03:00:00;Mgˆa;0;1009.7
12520;03.06.2020;03:00:00;Mgˆa;1;1008.7
12530;03.06.2020;03:00:00;Mgˆa;4;1007.1
12560;03.06.2020;03:00:00;Mgˆa;7;1007.3
12570;03.06.2020;03:00:00;Mgˆa;2;1007.8
12600;03.06.2020;03:00:00;Burza;7;1006.8
12695;03.06.2020;03:00:00;Deszcz;0;1006.3
12424;03.06.2020;04:00:00;Mgˆa;2;1007.8
12488;03.06.2020;04:00:00;Deszcz;8;1006.6
12500;03.06.2020;04:00:00;Mgˆa;3;1009.6
12520;03.06.2020;04:00:00;Mgˆa;1;1008.5
12530;03.06.2020;04:00:00;Mgˆa;2;1007.1
12570;03.06.2020;04:00:00;Mgˆa;2;1007.7
12690;03.06.2020;04:00:00;Mgˆa;8;1006.6
12695;03.06.2020;04:00:00;Deszcz;0;1006.2
12285;03.06.2020;05:00:00;Deszcz;0;1007.3
12488;03.06.2020;05:00:00;Deszcz;8;1006.4
12500;03.06.2020;05:00:00;Mgˆa;1;1008.9
12520;03.06.2020;05:00:00;Mgˆa;1;1008.2
12530;03.06.2020;05:00:00;Mgˆa;7;1007.0
12690;03.06.2020;05:00:00;Mgˆa;8;1006.7
12695;03.06.2020;05:00:00;Deszcz;0;1006.1
12124;03.06.2020;02:00:00;Mgˆa;0;1010.8
12136;03.06.2020;00:00:00;Mgˆa;0;1011.7
12136;03.06.2020;01:00:00;Mgˆa;0;1011.2
12136;03.06.2020;02:00:00;Mgˆa;0;1010.8
12280;03.06.2020;06:00:00;Deszcz;8;1007.8
12490;03.06.2020;02:00:00;Deszcz;8;1006.5
12520;03.06.2020;06:00:00;Mgˆa;1;1007.7
12695;03.06.2020;10:00:00;Deszcz;0;1006.4
12124;03.06.2020;03:00:00;Mgˆa;0;1010.5
12136;03.06.2020;04:00:00;Mgˆa;0;1010.4
12136;03.06.2020;05:00:00;Mgˆa;6;1010.0
12136;03.06.2020;06:00:00;Mgˆa;0;1009.8
12376;03.06.2020;04:00:00;Deszcz;8;1006.6
12376;03.06.2020;06:00:00;Deszcz;8;1006.4
12485;03.06.2020;05:00:00;Deszcz;7;1006.5
12485;03.06.2020;07:00:00;Deszcz;7;1006.5
12490;03.06.2020;04:00:00;Deszcz;8;1006.5
12490;03.06.2020;05:00:00;Deszcz;8;1006.3
12490;03.06.2020;07:00:00;Deszcz;8;1006.3
12585;03.06.2020;12:00:00;Deszcz;0;1005.9
12295;03.06.2020;13:00:00;Burza;7;1005.7
12495;03.06.2020;15:00:00;Burza;6;1004.3
12695;03.06.2020;15:00:00;Deszcz;0;1006.0
12595;03.06.2020;16:00:00;Burza;6;1004.3
12695;03.06.2020;16:00:00;Deszcz;0;1005.6
12485;03.06.2020;10:00:00;Deszcz;7;1006.4
12580;03.06.2020;22:00:00;Mgˆa;1;1005.7
12120;03.06.2020;23:00:00;Mgˆa;0;1005.0
12272;03.06.2020;23:00:00;Mgˆa;0;1004.7
12570;03.06.2020;23:00:00;Mgˆa;2;1005.6
12580;03.06.2020;23:00:00;Mgˆa;1;1005.2
12120;04.06.2020;00:00:00;Mgˆa;0;1004.5
12580;04.06.2020;00:00:00;Mgˆa;2;1004.9
12272;04.06.2020;00:00:00;Mgˆa;0;1004.1
12285;04.06.2020;00:00:00;Deszcz;0;1003.8
12690;04.06.2020;00:00:00;Mgˆa;1;1005.7
12120;04.06.2020;01:00:00;Mgˆa;0;1004.1
12272;04.06.2020;01:00:00;Mgˆa;0;1003.8
12375;04.06.2020;01:00:00;Mgˆa;2;1003.3
12465;04.06.2020;01:00:00;Mgˆa;2;1003.6
12570;04.06.2020;01:00:00;Mgˆa;0;1004.6
12690;04.06.2020;01:00:00;Mgˆa;1;1005.3
12120;04.06.2020;02:00:00;Mgˆa;0;1003.7
12155;04.06.2020;02:00:00;Mgˆa;1;1003.6
12160;04.06.2020;02:00:00;Mgˆa;0;1003.6
12272;04.06.2020;02:00:00;Mgˆa;0;1003.5
12280;04.06.2020;02:00:00;Mgˆa;3;1003.0
12375;04.06.2020;02:00:00;Mgˆa;2;1002.9
12465;04.06.2020;02:00:00;Mgˆa;2;1003.4
12520;04.06.2020;02:00:00;Mgˆa;2;1002.9
12570;04.06.2020;02:00:00;Mgˆa;1;1004.4
12690;04.06.2020;02:00:00;Mgˆa;4;1004.9
12120;04.06.2020;03:00:00;Mgˆa;0;1003.6
12155;04.06.2020;03:00:00;Mgˆa;1;1003.1
12160;04.06.2020;03:00:00;Mgˆa;0;1003.2
12195;04.06.2020;03:00:00;Mgˆa;4;1003.1
12375;04.06.2020;03:00:00;Mgˆa;1;1002.7
12465;04.06.2020;03:00:00;Mgˆa;1;1003.4
12570;04.06.2020;03:00:00;Mgˆa;1;1004.4
12272;04.06.2020;03:00:00;Mgˆa;1;1003.0
12520;04.06.2020;03:00:00;Mgˆa;2;1002.7
12690;04.06.2020;03:00:00;Mgˆa;6;1004.6
12695;04.06.2020;03:00:00;Deszcz;0;1004.7
12120;04.06.2020;04:00:00;Mgˆa;0;1003.1
12570;04.06.2020;04:00:00;Mgˆa;1;1003.8
12690;04.06.2020;04:00:00;Mgˆa;6;1004.5
12690;04.06.2020;05:00:00;Mgˆa;5;1004.0
12120;04.06.2020;05:00:00;Mgˆa;1;1002.6
12142;04.06.2020;02:00:00;Mgˆa;1;1003.9
12336;04.06.2020;02:00:00;Mgˆa;1;1002.8
12490;04.06.2020;00:00:00;Mgˆa;1;1003.7
12490;04.06.2020;01:00:00;Mgˆa;1;1003.3
12490;04.06.2020;02:00:00;Mgˆa;1;1003.3
12336;04.06.2020;03:00:00;Mgˆa;1;1002.5
12452;04.06.2020;03:00:00;Mgˆa;2;1002.3
12454;04.06.2020;03:00:00;Mgˆa;1;1003.0
12490;04.06.2020;03:00:00;Mgˆa;1;1003.3
12490;04.06.2020;04:00:00;Mgˆa;2;1003.3
12490;04.06.2020;05:00:00;Mgˆa;4;1002.8
12490;04.06.2020;06:00:00;Mgˆa;4;1002.4
12520;04.06.2020;14:00:00;Burza;7;996.1
12520;04.06.2020;15:00:00;Burza;8;998.0
12424;04.06.2020;16:00:00;Deszcz;8;995.7
12500;04.06.2020;16:00:00;Deszcz;7;995.7
12520;04.06.2020;16:00:00;Burza;8;997.6
12600;04.06.2020;16:00:00;Burza;7;997.5
12300;04.06.2020;19:00:00;Deszcz;8;993.8
12520;04.06.2020;19:00:00;Mgˆa;7;995.6
12550;04.06.2020;19:00:00;Deszcz;0;996.9
12560;04.06.2020;19:00:00;Mgˆa;7;997.1
12205;04.06.2020;20:00:00;Deszcz;8;993.1
12530;04.06.2020;20:00:00;Burza;7;995.9
12205;04.06.2020;21:00:00;Deszcz;8;992.7
12424;04.06.2020;21:00:00;Deszcz;8;994.8
12200;04.06.2020;21:00:00;Deszcz;8;992.6
12399;04.06.2020;21:00:00;Mgˆa;1;1001.7
12415;04.06.2020;21:00:00;Deszcz;0;994.9
12100;04.06.2020;22:00:00;Deszcz;8;993.0
12200;04.06.2020;22:00:00;Deszcz;8;992.0
12205;04.06.2020;22:00:00;Deszcz;8;992.1
12295;04.06.2020;22:00:00;Mgˆa;0;1001.6
12415;04.06.2020;22:00:00;Deszcz;0;994.3
12418;04.06.2020;22:00:00;Deszcz;0;994.3
12520;04.06.2020;22:00:00;Mgˆa;7;994.9
12200;04.06.2020;23:00:00;Deszcz;8;991.5
12295;04.06.2020;23:00:00;Mgˆa;0;1001.4
12415;04.06.2020;23:00:00;Deszcz;0;994.4
12418;04.06.2020;23:00:00;Deszcz;0;993.7
12520;04.06.2020;23:00:00;Mgˆa;7;994.4
12550;04.06.2020;23:00:00;Deszcz;0;995.8
12690;04.06.2020;23:00:00;Mgˆa;6;1000.4
12205;04.06.2020;23:00:00;Deszcz;8;991.6
12200;05.06.2020;00:00:00;Deszcz;8;990.9
12205;05.06.2020;00:00:00;Deszcz;8;991.4
12295;05.06.2020;00:00:00;Mgˆa;0;1001.2
12415;05.06.2020;00:00:00;Deszcz;0;993.7
12424;05.06.2020;00:00:00;Burza;8;994.3
12520;05.06.2020;00:00:00;Mgˆa;7;994.6
12690;05.06.2020;00:00:00;Mgˆa;6;1000.0
12200;05.06.2020;01:00:00;Deszcz;8;990.5
12295;05.06.2020;01:00:00;Mgˆa;0;1000.8
12435;05.06.2020;01:00:00;Burza;8;994.2
12660;05.06.2020;01:00:00;Deszcz;0;997.1
12200;05.06.2020;02:00:00;Deszcz;8;990.9
12295;05.06.2020;02:00:00;Mgˆa;0;1000.6
12330;05.06.2020;02:00:00;Deszcz;8;993.1
12424;05.06.2020;02:00:00;Deszcz;8;993.2
12435;05.06.2020;02:00:00;Burza;8;993.6
12566;05.06.2020;02:00:00;Deszcz;7;995.8
12105;05.06.2020;03:00:00;Deszcz;8;991.5
12330;05.06.2020;03:00:00;Deszcz;8;993.0
12424;05.06.2020;03:00:00;Deszcz;7;993.5
12100;05.06.2020;04:00:00;Deszcz;8;991.3
12105;05.06.2020;04:00:00;Deszcz;8;991.8
12210;05.06.2020;04:00:00;Deszcz;0;991.6
12230;05.06.2020;04:00:00;Deszcz;0;992.7
12235;05.06.2020;04:00:00;Deszcz;8;993.8
12330;05.06.2020;04:00:00;Deszcz;8;993.1
12530;05.06.2020;04:00:00;Deszcz;8;994.7
12115;05.06.2020;05:00:00;Deszcz;8;992.2
12120;05.06.2020;05:00:00;Deszcz;8;993.1
12200;05.06.2020;05:00:00;Deszcz;8;992.1
12205;05.06.2020;05:00:00;Deszcz;8;992.4
12210;05.06.2020;05:00:00;Deszcz;0;991.9
12235;05.06.2020;05:00:00;Deszcz;8;993.6
12330;05.06.2020;05:00:00;Deszcz;8;993.0
12415;05.06.2020;05:00:00;Mgˆa;0;994.3
12120;05.06.2020;06:00:00;Deszcz;8;992.9
12155;05.06.2020;06:00:00;Deszcz;7;994.6
12205;05.06.2020;06:00:00;Deszcz;8;993.1
12212;05.06.2020;02:00:00;Deszcz;8;991.5
12235;05.06.2020;06:00:00;Deszcz;8;993.5
12250;05.06.2020;06:00:00;Deszcz;8;993.7
12336;05.06.2020;02:00:00;Deszcz;8;993.8
12345;05.06.2020;02:00:00;Deszcz;0;994.0
12100;05.06.2020;06:00:00;Deszcz;8;992.1
12115;05.06.2020;06:00:00;Deszcz;8;992.0
12125;05.06.2020;06:00:00;Deszcz;0;993.1
12200;05.06.2020;06:00:00;Deszcz;8;992.9
12230;05.06.2020;06:00:00;Deszcz;8;992.7
12418;05.06.2020;06:00:00;Deszcz;8;993.9
12100;05.06.2020;07:00:00;Deszcz;8;992.7
12105;05.06.2020;07:00:00;Deszcz;8;992.7
12115;05.06.2020;07:00:00;Deszcz;8;992.6
12120;05.06.2020;07:00:00;Deszcz;8;992.6
12125;05.06.2020;07:00:00;Deszcz;0;992.8
12135;05.06.2020;07:00:00;Deszcz;8;994.3
12205;05.06.2020;07:00:00;Deszcz;8;993.8
12230;05.06.2020;07:00:00;Deszcz;8;992.8
12415;05.06.2020;07:00:00;Deszcz;8;995.1
12418;05.06.2020;07:00:00;Deszcz;8;994.3
12424;05.06.2020;07:00:00;Deszcz;8;995.2
12520;05.06.2020;07:00:00;Deszcz;8;996.4
12540;05.06.2020;07:00:00;Deszcz;8;996.6
12560;05.06.2020;07:00:00;Deszcz;8;996.2
12155;05.06.2020;07:00:00;Deszcz;7;994.1
12100;05.06.2020;08:00:00;Deszcz;8;993.6
12105;05.06.2020;08:00:00;Deszcz;8;993.3
12115;05.06.2020;08:00:00;Deszcz;8;993.0
12120;05.06.2020;08:00:00;Deszcz;8;993.0
12125;05.06.2020;08:00:00;Deszcz;0;993.0
12135;05.06.2020;08:00:00;Deszcz;8;994.1
12235;05.06.2020;08:00:00;Deszcz;8;993.5
12330;05.06.2020;08:00:00;Deszcz;8;993.9
12415;05.06.2020;08:00:00;Deszcz;8;995.6
12418;05.06.2020;08:00:00;Deszcz;8;994.8
12424;05.06.2020;08:00:00;Deszcz;8;995.8
12465;05.06.2020;08:00:00;Deszcz;7;994.9
12520;05.06.2020;08:00:00;Deszcz;8;996.9
12530;05.06.2020;08:00:00;Deszcz;8;996.6
12540;05.06.2020;08:00:00;Deszcz;8;996.9
12560;05.06.2020;08:00:00;Deszcz;8;997.0
12155;05.06.2020;08:00:00;Deszcz;8;993.9
12115;05.06.2020;09:00:00;Deszcz;8;993.8
12120;05.06.2020;09:00:00;Deszcz;8;993.5
12125;05.06.2020;09:00:00;Deszcz;0;993.3
12135;05.06.2020;09:00:00;Deszcz;8;994.3
12155;05.06.2020;09:00:00;Deszcz;8;994.1
12235;05.06.2020;09:00:00;Deszcz;8;993.8
12418;05.06.2020;09:00:00;Deszcz;8;995.3
12424;05.06.2020;09:00:00;Deszcz;8;996.3
12435;05.06.2020;09:00:00;Deszcz;8;995.1
12455;05.06.2020;09:00:00;Deszcz;8;996.2
12520;05.06.2020;09:00:00;Deszcz;8;997.2
12530;05.06.2020;09:00:00;Deszcz;8;996.9
12540;05.06.2020;09:00:00;Deszcz;8;997.5
12550;05.06.2020;09:00:00;Deszcz;0;997.0
12560;05.06.2020;09:00:00;Deszcz;8;997.5
12115;05.06.2020;10:00:00;Deszcz;8;994.2
12120;05.06.2020;10:00:00;Deszcz;8;993.8
12125;05.06.2020;10:00:00;Deszcz;0;993.7
12135;05.06.2020;10:00:00;Deszcz;8;994.2
12160;05.06.2020;10:00:00;Deszcz;8;994.2
12235;05.06.2020;10:00:00;Deszcz;8;993.9
12250;05.06.2020;10:00:00;Deszcz;8;993.8
12330;05.06.2020;10:00:00;Deszcz;8;994.7
12424;05.06.2020;10:00:00;Deszcz;8;996.5
12435;05.06.2020;10:00:00;Deszcz;8;995.6
12455;05.06.2020;10:00:00;Deszcz;8;996.4
12500;05.06.2020;10:00:00;Deszcz;8;997.7
12520;05.06.2020;10:00:00;Deszcz;8;997.1
12530;05.06.2020;10:00:00;Deszcz;8;997.0
12560;05.06.2020;10:00:00;Deszcz;8;997.3
12155;05.06.2020;10:00:00;Deszcz;8;994.1
12115;05.06.2020;11:00:00;Deszcz;8;994.8
12120;05.06.2020;11:00:00;Deszcz;8;994.3
12125;05.06.2020;11:00:00;Deszcz;0;994.0
12135;05.06.2020;11:00:00;Deszcz;8;994.4
12160;05.06.2020;11:00:00;Deszcz;8;994.3
12230;05.06.2020;11:00:00;Deszcz;8;994.8
12235;05.06.2020;11:00:00;Deszcz;8;994.2
12250;05.06.2020;11:00:00;Deszcz;8;994.5
12418;05.06.2020;11:00:00;Deszcz;8;996.7
12424;05.06.2020;11:00:00;Deszcz;8;997.5
12435;05.06.2020;11:00:00;Deszcz;8;995.6
12455;05.06.2020;11:00:00;Deszcz;8;996.3
12530;05.06.2020;11:00:00;Deszcz;8;997.2
12155;05.06.2020;11:00:00;Deszcz;8;994.4
12120;05.06.2020;12:00:00;Deszcz;8;994.8
12124;05.06.2020;03:00:00;Deszcz;8;991.5
12124;05.06.2020;04:00:00;Deszcz;8;991.7
12124;05.06.2020;05:00:00;Deszcz;7;991.6
12124;05.06.2020;07:00:00;Deszcz;8;992.6
12124;05.06.2020;08:00:00;Deszcz;8;993.2
12136;05.06.2020;04:00:00;Deszcz;8;993.4
12136;05.06.2020;05:00:00;Deszcz;8;993.6
12136;05.06.2020;06:00:00;Deszcz;8;993.4
12136;05.06.2020;07:00:00;Deszcz;8;993.1
12142;05.06.2020;07:00:00;Deszcz;8;993.8
12142;05.06.2020;08:00:00;Deszcz;8;993.7
12146;05.06.2020;06:00:00;Deszcz;7;994.4
12146;05.06.2020;07:00:00;Deszcz;7;994.0
12146;05.06.2020;08:00:00;Deszcz;8;994.0
12155;05.06.2020;12:00:00;Deszcz;8;994.3
12160;05.06.2020;12:00:00;Deszcz;8;994.3
12212;05.06.2020;04:00:00;Deszcz;8;991.6
12212;05.06.2020;05:00:00;Deszcz;8;991.8
12212;05.06.2020;06:00:00;Deszcz;8;992.5
12212;05.06.2020;07:00:00;Deszcz;7;992.8
12226;05.06.2020;07:00:00;Deszcz;8;993.3
12235;05.06.2020;12:00:00;Deszcz;8;994.4
12250;05.06.2020;12:00:00;Deszcz;8;994.4
12326;05.06.2020;07:00:00;Deszcz;8;993.8
12336;05.06.2020;04:00:00;Deszcz;8;993.2
12336;05.06.2020;08:00:00;Deszcz;8;994.0
12342;05.06.2020;04:00:00;Deszcz;8;993.9
12345;05.06.2020;03:00:00;Deszcz;0;994.1
12345;05.06.2020;05:00:00;Deszcz;0;993.6
12424;05.06.2020;12:00:00;Deszcz;8;998.0
12465;05.06.2020;12:00:00;Deszcz;8;996.2
12530;05.06.2020;12:00:00;Deszcz;8;997.3
12115;05.06.2020;12:00:00;Deszcz;8;995.0
12125;05.06.2020;12:00:00;Deszcz;0;994.5
12135;05.06.2020;12:00:00;Deszcz;8;994.5
12230;05.06.2020;12:00:00;Deszcz;8;995.7
12415;05.06.2020;12:00:00;Deszcz;8;997.8
12418;05.06.2020;12:00:00;Deszcz;8;997.2
12455;05.06.2020;12:00:00;Deszcz;8;996.8
12115;05.06.2020;13:00:00;Deszcz;8;995.5
12120;05.06.2020;13:00:00;Deszcz;8;995.1
12125;05.06.2020;13:00:00;Deszcz;0;995.0
12135;05.06.2020;13:00:00;Deszcz;8;994.7
12155;05.06.2020;13:00:00;Deszcz;8;994.2
12160;05.06.2020;13:00:00;Deszcz;8;994.2
12235;05.06.2020;13:00:00;Deszcz;8;995.7
12250;05.06.2020;13:00:00;Deszcz;8;995.1
12330;05.06.2020;13:00:00;Deszcz;8;997.1
12415;05.06.2020;13:00:00;Deszcz;8;998.0
12418;05.06.2020;13:00:00;Deszcz;8;997.7
12424;05.06.2020;13:00:00;Deszcz;8;998.5
12455;05.06.2020;13:00:00;Deszcz;8;997.1
12550;05.06.2020;13:00:00;Deszcz;0;998.1
12115;05.06.2020;14:00:00;Deszcz;8;995.8
12120;05.06.2020;14:00:00;Deszcz;8;995.4
12125;05.06.2020;14:00:00;Deszcz;0;995.3
12135;05.06.2020;14:00:00;Deszcz;8;994.5
12155;05.06.2020;14:00:00;Deszcz;8;994.3
12160;05.06.2020;14:00:00;Deszcz;8;994.3
12230;05.06.2020;14:00:00;Deszcz;8;996.5
12235;05.06.2020;14:00:00;Deszcz;8;996.3
12250;05.06.2020;14:00:00;Deszcz;8;995.8
12330;05.06.2020;14:00:00;Deszcz;8;997.4
12360;05.06.2020;14:00:00;Deszcz;0;996.2
12424;05.06.2020;14:00:00;Deszcz;8;998.9
12540;05.06.2020;14:00:00;Deszcz;8;999.0
12120;05.06.2020;15:00:00;Deszcz;8;995.9
12155;05.06.2020;15:00:00;Deszcz;8;995.1
12160;05.06.2020;15:00:00;Deszcz;8;995.0
12235;05.06.2020;15:00:00;Deszcz;8;996.6
12250;05.06.2020;15:00:00;Deszcz;8;997.2
12125;05.06.2020;15:00:00;Deszcz;0;996.0
12135;05.06.2020;15:00:00;Deszcz;8;995.2
12185;05.06.2020;15:00:00;Burza;7;994.4
12285;05.06.2020;15:00:00;Deszcz;0;996.4
12360;05.06.2020;15:00:00;Deszcz;0;996.7
12455;05.06.2020;15:00:00;Deszcz;8;999.1
12488;05.06.2020;15:00:00;Burza;7;997.2
12540;05.06.2020;15:00:00;Deszcz;8;999.8
12105;05.06.2020;16:00:00;Deszcz;8;995.8
12120;05.06.2020;16:00:00;Deszcz;8;995.9
12125;05.06.2020;16:00:00;Deszcz;0;996.1
12135;05.06.2020;16:00:00;Deszcz;8;996.0
12160;05.06.2020;16:00:00;Deszcz;8;995.5
12185;05.06.2020;16:00:00;Burza;8;995.3
12235;05.06.2020;16:00:00;Deszcz;8;996.6
12250;05.06.2020;16:00:00;Deszcz;8;996.9
12280;05.06.2020;16:00:00;Burza;8;995.9
12375;05.06.2020;16:00:00;Deszcz;8;997.9
12385;05.06.2020;16:00:00;Burza;7;997.7
12455;05.06.2020;16:00:00;Deszcz;8;999.0
12488;05.06.2020;16:00:00;Burza;7;998.6
12540;05.06.2020;16:00:00;Deszcz;8;1000.1
12550;05.06.2020;16:00:00;Deszcz;0;999.8
12155;05.06.2020;16:00:00;Deszcz;8;995.9
12120;05.06.2020;17:00:00;Deszcz;8;995.5
12125;05.06.2020;17:00:00;Deszcz;0;995.4
12135;05.06.2020;17:00:00;Deszcz;8;995.8
12155;05.06.2020;17:00:00;Deszcz;8;996.1
12160;05.06.2020;17:00:00;Deszcz;8;996.6
12280;05.06.2020;17:00:00;Burza;8;996.2
12540;05.06.2020;17:00:00;Deszcz;8;1000.6
12550;05.06.2020;17:00:00;Deszcz;0;1000.3
12124;05.06.2020;09:00:00;Deszcz;8;994.0
12124;05.06.2020;10:00:00;Deszcz;8;994.5
12124;05.06.2020;12:00:00;Deszcz;8;995.2
12136;05.06.2020;09:00:00;Deszcz;8;993.6
12136;05.06.2020;10:00:00;Deszcz;8;993.9
